Rk,player_name,age,team,position,games_played,GS,minutes_per_game,FG,FGA,fg_pct,3P,3PA,three_pt_pct,2P,2PA,2P%,eFG%,FT,FTA,ft_pct,ORB,DRB,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,PF,points_per_game,Awards,Player-additional,salary_2023_24
204.0,Taurean Prince,29.0,LAL,PF,78.0,49.0,27.0,3.2,7.3,0.442,1.8,4.6,0.396,1.4,2.8,0.519,0.566,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9,,princta02,2087519
205.0,Jabari Walker,21.0,POR,PF,72.0,23.0,23.6,3.3,7.1,0.46,0.6,1.9,0.295,2.7,5.1,0.522,0.5,1.8,2.4,0.754,2.1,5.0,7.1,1.0,0.6,0.3,0.9,2.4,8.9,,walkeja01,2019699
206.0,Dereck Lively II,19.0,DAL,C,55.0,42.0,23.5,4.0,5.4,0.747,0.0,0.0,0.0,4.0,5.3,0.752,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,ROY-6,livelde01,5014560
207.0,Kevin Love,35.0,MIA,PF,55.0,5.0,16.8,2.9,6.5,0.44,1.5,4.4,0.344,1.3,2.1,0.643,0.557,1.5,2.0,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8,,loveke01,3850000
208.0,Terance Mann,27.0,LAC,SG,75.0,71.0,25.0,3.4,6.6,0.515,0.9,2.7,0.348,2.4,3.9,0.633,0.587,1.1,1.3,0.832,1.2,2.2,3.4,1.6,0.6,0.2,0.6,1.9,8.8,,mannte01,11423077
209.0,Ausar Thompson,21.0,DET,SF,63.0,38.0,25.1,3.7,7.6,0.483,0.3,1.8,0.186,3.3,5.8,0.575,0.505,1.1,1.9,0.597,2.0,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,,thompau01,8376000
210.0,Draymond Green,33.0,GSW,PF,55.0,52.0,27.1,3.4,6.8,0.497,0.9,2.3,0.395,2.4,4.4,0.551,0.566,1.0,1.3,0.73,1.4,5.9,7.2,6.0,1.0,0.9,2.5,3.0,8.6,,greendr01,24107143
211.0,Al Horford,37.0,BOS,C,65.0,33.0,26.8,3.3,6.4,0.511,1.7,4.0,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1.0,0.7,1.4,8.6,,horfoal01,9500000
212.0,Derrick Jones Jr.,26.0,DAL,SF,76.0,66.0,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,0.566,1.3,1.8,0.713,1.1,2.2,3.3,1.0,0.7,0.7,0.9,1.6,8.6,,jonesde02,9523810
213.0,Gradey Dick,20.0,TOR,SG,60.0,17.0,21.1,3.2,7.4,0.425,1.5,4.0,0.365,1.7,3.4,0.495,0.524,0.7,0.9,0.863,0.5,1.8,2.2,1.1,0.6,0.0,0.8,1.5,8.5,,dickgr01,4763760
